     eType,  uiId,     Hits,  TotalTime,                                   GUID, Name
 Dxgkernel,  4011,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DpiDxgkDdiControlEtwLogging
 Dxgkernel,  4012,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DpiDxgkDdiQueryInterface
 Dxgkernel,  4013,     3237,    2066462, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DpiDpcForIsr
 Dxgkernel,  4014,     3331,    1734673, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DpiFdoMessageInterruptRoutine
 Dxgkernel,  4015,       53,       5649, {802EC45A-1E99-4B83-9920-87C98277BA9D}, VidSchDdiNotifyInterrupt
 Dxgkernel,  4016,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, VidSchiCallNotifyInterruptAtISR
 Dxgkernel,  4017,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DpiDxgkDdiStopDeviceAndReleasePostDisplayOwnershi
 Dxgkernel,  4018,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DpiDxgkDdiGetChildContainerId
 Dxgkernel,  4019,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DpiDxgkDdiNotifySurpriseRemoval
 Dxgkernel,  4020,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DpiFdoThermalActiveCooling
 Dxgkernel,  4021,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DpiFdoThermalPassiveCooling
 Dxgkernel,  4022,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DxgkCbIndicateChildStatus
 Dxgkernel,  5043,        0,     281866, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiNotifyDpc
 Dxgkernel,  6000,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceAcquiredPreferredMonitorSourceMode
 Dxgkernel,  6001,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceReleaseMonitorSourceMode
 Dxgkernel,  6002,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceGetNumSourceModes
 Dxgkernel,  6003,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceAcquireFirstSourceMode
 Dxgkernel,  6004,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceAcquireNextSourceMode
 Dxgkernel,  6005,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceAcquirePinnedSourceMode
 Dxgkernel,  6006,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceReleaseSourceMode
 Dxgkernel,  6007,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfacePinSourceMode
 Dxgkernel,  6008,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceUnpinSourceMode
 Dxgkernel,  6009,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceGetNumTargetModes
 Dxgkernel,  6010,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceAcquireFirstTargetMode
 Dxgkernel,  6011,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceAcquireNextTargetMode
 Dxgkernel,  6012,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceAcquriePinnedTargetMode
 Dxgkernel,  6013,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceReleaseTargetMode
 Dxgkernel,  6014,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceCompareTargetMode
 Dxgkernel,  6015,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfacePinTargetMode
 Dxgkernel,  6016,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceUnpinTargetMode
 Dxgkernel,  6017,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceIsTargetModeSupportedByMonitor
 Dxgkernel,  6018,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceGetNumPathsFromSource
 Dxgkernel,  6019,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceEnumPathTargetsFromSource
 Dxgkernel,  6020,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceGetPathSourceFromTarget
